review_decision,corrected_label,corrected_text,notes,entity_id,sentence_id,package_id,document_number,label,text,start,end,confidence,source_probes,quality_flags,row_quality_flags,left_context,right_context,sentence_text
,,,,ent_516e7fe17d291562,100_2015_qh13.dieu_102.khoan_2.text_1.passage.s001,100_2015_QH13,100/2015/QH13,SANCTION,Mức hình phạt cao nhất,0,22,0.95,entities_probe_2000,,,, đối với người từ đủ 16 tuổi đến dưới 18 tuổi chuẩn bị phạm tội không quá một phần hai mức,Mức hình phạt cao nhất đối với người từ đủ 16 tuổi đến dưới 18 tuổi chuẩn bị phạm tội không quá một phần hai mức hình phạt được quy định trong khung hình phạt đối với hành vi chuẩn bị phạm tội trong điều luật được áp dụng.
,,,,ent_40b32f942fd3be8e,100_2015_qh13.dieu_121.khoan_1.passage.s001,100_2015_QH13,100/2015/QH13,SANCTION,phạt tù từ 03 năm đến 12 năm,96,124,0.9,entities_probe_2000,,,"nào trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân, thì bị ",.,"Người nào trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân, thì bị phạt tù từ 03 năm đến 12 năm."
,,,,ent_1ffc50a0eb126466,100_2015_qh13.dieu_131.khoan_2.passage.s001,100_2015_QH13,100/2015/QH13,SANCTION,phạt tù từ 02 năm đến 07 năm,45,73,0.9,entities_probe_2000,,,"Phạm tội làm 02 người trở lên tự sát, thì bị ",.,"Phạm tội làm 02 người trở lên tự sát, thì bị phạt tù từ 02 năm đến 07 năm."
,,,,ent_7aa5c17bc0c38591,100_2015_qh13.dieu_137.khoan_3.passage.s001,100_2015_QH13,100/2015/QH13,SANCTION,cấm đảm nhiệm chức vụ,29,50,0.95,entities_probe_2000,,,Người phạm tội còn có thể bị ,", cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm.","Người phạm tội còn có thể bị cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm."
,,,,ent_9f8ed7813abcc166,100_2015_qh13.dieu_137.khoan_3.passage.s001,100_2015_QH13,100/2015/QH13,SANCTION,cấm hành nghề hoặc làm công việc nhất định,52,94,0.9,entities_probe_2000,,,"Người phạm tội còn có thể bị cấm đảm nhiệm chức vụ, ", từ 01 năm đến 05 năm.,"Người phạm tội còn có thể bị cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm."
,,,,ent_c62c9cf553d02444,100_2015_qh13.dieu_137.khoan_3.passage.s001,100_2015_QH13,100/2015/QH13,SANCTION,từ 01 năm đến 05 năm,95,115,0.9,entities_probe_2000,,," phạm tội còn có thể bị cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định ",.,"Người phạm tội còn có thể bị cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm."
,,,,ent_d296e1d5665b760f,100_2015_qh13.dieu_145.khoan_3.passage.s001,100_2015_QH13,100/2015/QH13,SANCTION,phạt tù từ 07 năm đến 15 năm,56,84,0.9,entities_probe_2000,,,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị ",:,"Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 07 năm đến 15 năm:"
,,,,ent_3167cfd6fe0e1d31,118_2025_qh15.dieu_4.khoan_4.diem_a.text_1.passage.s001,118_2025_QH15,118/2025/QH15,REGULATED_SUBJECT,Người dưới 6 tuổi,4,21,0.9,entities_probe_2000,,,"""2. ", được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi về ở với,"""2. Người dưới 6 tuổi được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi về ở với cha, mẹ, người giám hộ mà không cần sự đồng ý của chủ hộ và chủ sở hữu chỗ ở hợp pháp đó."
,,,,ent_6d92641f4d62612c,118_2025_qh15.dieu_4.khoan_4.diem_a.text_1.passage.s001,118_2025_QH15,118/2025/QH15,PROCEDURE,đăng ký thường trú,27,45,0.9,entities_probe_2000,,,"""2. Người dưới 6 tuổi được "," tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi về ở với cha, mẹ, người giám hộ ","""2. Người dưới 6 tuổi được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi về ở với cha, mẹ, người giám hộ mà không cần sự đồng ý của chủ hộ và chủ sở hữu chỗ ở hợp pháp đó."
,,,,ent_af43519890a1a590,118_2025_qh15.dieu_4.khoan_4.diem_a.text_1.passage.s001,118_2025_QH15,118/2025/QH15,REGULATED_SUBJECT,"cha, mẹ, người giám hộ",112,134,0.9,entities_probe_2000,,,được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi về ở với , mà không cần sự đồng ý của chủ hộ và chủ sở hữu chỗ ở hợp pháp đó.,"""2. Người dưới 6 tuổi được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi về ở với cha, mẹ, người giám hộ mà không cần sự đồng ý của chủ hộ và chủ sở hữu chỗ ở hợp pháp đó."
,,,,ent_91c3d08a1e99fd0e,118_2025_qh15.dieu_4.khoan_4.diem_a.text_1.passage.s001,118_2025_QH15,118/2025/QH15,CONDITION,đồng ý,151,157,0.8,entities_probe_2000,,,"háp không thuộc quyền sở hữu của mình khi về ở với cha, mẹ, người giám hộ mà không cần sự ", của chủ hộ và chủ sở hữu chỗ ở hợp pháp đó.,"""2. Người dưới 6 tuổi được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi về ở với cha, mẹ, người giám hộ mà không cần sự đồng ý của chủ hộ và chủ sở hữu chỗ ở hợp pháp đó."
,,,,ent_98f51db24ce83864,118_2025_qh15.dieu_4.khoan_4.diem_a.text_1.passage.s001,118_2025_QH15,118/2025/QH15,REGULATED_SUBJECT,chủ hộ,162,168,0.9,entities_probe_2000,,,"huộc quyền sở hữu của mình khi về ở với cha, mẹ, người giám hộ mà không cần sự đồng ý của ", và chủ sở hữu chỗ ở hợp pháp đó.,"""2. Người dưới 6 tuổi được đăng ký thường trú tại chỗ ở hợp pháp không thuộc quyền sở hữu của mình khi về ở với cha, mẹ, người giám hộ mà không cần sự đồng ý của chủ hộ và chủ sở hữu chỗ ở hợp pháp đó."
