surface_id,surface,label,count,status,reason,canonical,label_final,label_conflict,labels_seen,package_count,document_count,example_sentence_id,example_text,example_path
sf_ced538df174bbfaa,giấy phép lái xe,DOCUMENT,167,accept,auto_accept_count_ge_3,giấy phép lái xe,DOCUMENT,False,DOCUMENT:167,6,6,118_2025_qh15.dieu_7.khoan_14.diem_b.text_1.passage.s002,giấy phép lái xe,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 14. Sửa đổi, bổ sung một số điểm, khoản của Điều 62 như sau: > Điểm b. Sửa đổi, bổ sung khoản 6 như sau: > Đoạn 1"
sf_2964c23d481a9ee0,phòng cảnh sát giao thông,ACTOR,125,accept,auto_accept_count_ge_3,phòng cảnh sát giao thông,ACTOR,False,ACTOR:125,3,3,12_2025_tt_bca.dieu_19.khoan_2.diem_c.passage.s001,Phòng Cảnh sát giao thông,"12/2025/TT-BCA > Chương III. CẤP, ĐỔI, CẤP LẠI, THU HỒI GIẤY PHÉP LÁI XE > Điều 19. Cấp giấy phép lái xe > Khoản 2. Việc cấp giấy phép lái xe cho người có giấy phép lái xe ô tô các hạng mà quá thời hạn sử dụng; mất giấy phép lái xe ô tô và giấy phép lái xe đó quá thời hạn sử dụng bao gồm cả người có giấy phép lái xe quân sự do Bộ Quốc phòng cấp, giấy phép lái xe trong Công an nhân dân khi thôi không còn làm nhiệm vụ quốc phòng, an ninh thực hiện như sau: > Điểm c. Trường hợp người có giấy phép lái xe được quy định tại điểm a khoản này sát hạch không đạt kết quả để được cấp giấy phép lái xe nếu có nhu cầu thì đăng ký với Phòng Cảnh sát giao thông để tham gia sát hạch lại."
sf_0b9c8f5fd8c2a311,cục cảnh sát giao thông,ACTOR,108,accept,auto_accept_count_ge_3,cục cảnh sát giao thông,ACTOR,False,ACTOR:108,5,5,12_2025_tt_bca.dieu_23.khoan_1.diem_a.passage.s002,Cục Cảnh sát giao thông,"12/2025/TT-BCA > Chương III. CẤP, ĐỔI, CẤP LẠI, THU HỒI GIẤY PHÉP LÁI XE > Điều 23. Đổi giấy phép lái xe trong Công an nhân dân > Khoản 1. Yêu cầu đối với việc đổi giấy phép lái xe trong Công an nhân dân khi thôi không còn phục vụ trong lực lượng Công an > Điểm a. Người có giấy phép lái xe còn thời hạn sử dụng; bị mất, bị hỏng nhưng vẫn còn thời hạn sử dụng, có thông tin trong hệ thống thông tin giấy phép lái xe tại Cục Cảnh sát giao thông hoặc bảng kê danh sách cấp giấy phép lái xe (sổ quản lý) có nhu cầu được đổi giấy phép lái xe;"
sf_a5aec3aa6d6e4f8d,xe ô tô,VEHICLE,69,accept,auto_accept_count_ge_3,xe ô tô,VEHICLE,False,VEHICLE:69,8,8,100_2015_qh13.dieu_265.khoan_1.passage.s001,xe ô tô,"100/2015/QH13 > Phần thứ hai. CÁC TỘI PHẠM > Chương XXI. CÁC TỘI XÂM PHẠM AN TOÀN CÔNG CỘNG, TRẬT TỰ CÔNG CỘNG > Mục 1. CÁC TỘI XÂM PHẠM AN TOÀN GIAO THÔNG > Điều 265. Tội tổ chức đua xe trái phép > Khoản 1. Người nào tổ chức trái phép việc đua xe ô tô, xe máy hoặc các loại xe khác có gắn động cơ, thì bị phạt tiền từ 30.000.000 đồng đến 100.000.000 đồng, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 01 năm đến 05 năm."
sf_d9c304ae2831c7c8,thí sinh,ACTOR,64,accept,auto_accept_count_ge_3,thí sinh,ACTOR,False,ACTOR:64,1,1,12_2025_tt_bca.phu_luc_vi_quy_trinh_sat_hach_hang_c1e_ce.appendix_item_decimal_1.2.passage.s001,thí sinh,"Phụ lục VI > QUY TRÌNH SÁT HẠCH HẠNG C1E, CE > C. SÁT HẠCH THỰC HÀNH > I. Sát hạch lái xe trong hình > 1. Đối với sát hạch viên: > 1.2. Kiểm tra nhận dạng, đối chiếu căn cước công dân hoặc căn cước hoặc hộ chiếu và giấy phép lái xe với thí sinh và tên thí sinh ghi trên biên bản tổng hợp kết quả sát hạch; ký tên vào biên bản tổng hợp kết quả sát hạch; theo dõi, giám sát thí sinh tiếp nhận xe sát hạch được giao."
sf_c09936ba10ad7868,xe sát hạch,VEHICLE,56,accept,auto_accept_count_ge_3,xe sát hạch,VEHICLE,False,VEHICLE:56,1,1,12_2025_tt_bca.dieu_5.khoan_1.text_1.passage.s001,xe sát hạch,12/2025/TT-BCA > Chương II. SÁT HẠCH LÁI XE > Điều 5. Tiêu chuẩn kỹ thuật sân tập lái dùng để sát hạch lái xe mô tô > Khoản 1. Đối với sân tập lái dùng để sát hạch lái xe mô tô trang bị máy tính để sát hạch lý thuyết và thiết bị chấm điểm tự động để sát hạch lái xe trong hình > Đoạn 1
sf_68a55ed732ddd40e,xe cơ giới nước ngoài,VEHICLE,51,accept,auto_accept_count_ge_3,xe cơ giới nước ngoài,VEHICLE,False,VEHICLE:51,1,1,151_2024_nd_cp.dieu_33.khoan_3.diem_b.text_1.passage.s001,xe cơ giới nước ngoài,"151/2024/ND-CP > Chương VI. BẢO ĐẢM TRẬT TỰ, AN TOÀN GIAO THÔNG ĐƯỜNG BỘ ĐỐI VỚI XE Ô TÔ CỦA NGƯỜI NƯỚC NGOÀI ĐĂNG KÝ TẠI NƯỚC NGOÀI CÓ TAY LÁI Ở BÊN PHẢI THAM GIA GIAO THÔNG TẠI VIỆT NAM; XE CƠ GIỚI NƯỚC NGOÀI DO NGƯỜI NƯỚC NGOÀI ĐƯA VÀO VIỆT NAM DU LỊCH > Điều 33. Chấp thuận doanh nghiệp kinh doanh dịch vụ lữ hành quốc tế của Việt Nam được tổ chức cho người nước ngoài đưa xe cơ giới nước ngoài vào Việt Nam du lịch hoặc tổ chức, cá nhân đưa xe ô tô có tay lái ở bên phải vào tham gia giao thông tại Việt Nam không phải mục đích du lịch > Khoản 3. Trong thời hạn 05 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ quy định tại khoản 1, khoản 2 Điều này, Cục Cảnh sát giao thông, Bộ Công an có văn bản trả lời chấp thuận hoặc không chấp thuận, cụ thể: > Điểm b. Trường hợp từ chối, không chấp thuận phải có văn bản trả lời theo Mẫu số 04c Phụ lục IV kèm theo Nghị định này, gửi trực tiếp hoặc trực tuyến hoặc qua dịch vụ bưu chính cho tổ chức, cá nhân đã gửi hồ sơ trước đó. > Đoạn 1"
sf_8c59bba21497586f,người lái xe,ACTOR,46,accept,auto_accept_count_ge_3,người lái xe,ACTOR,False,ACTOR:46,5,5,118_2025_qh15.dieu_7.khoan_3.text_1.passage.s001,người lái xe,"118/2025/QH15 > Điều 7. Sửa đổi, bổ sung một số điều của Luật Trật tự, an toàn giao thông đường bộ > Khoản 3. Sửa đổi, bổ sung khoản 3 Điều 10 như sau: > Đoạn 1"
sf_d7fa271553320720,hộ chiếu,DOCUMENT,46,accept,auto_accept_count_ge_3,hộ chiếu,DOCUMENT,False,DOCUMENT:46,5,5,118_2025_qh15.dieu_3.khoan_5.text_1.passage.s002,hộ chiếu,"118/2025/QH15 > Điều 3. Sửa đổi, bổ sung một số điều của Luật Xuất cảnh, nhập cảnh của công dân Việt Nam > Khoản 5. Sửa đổi, bổ sung khoản 1 Điều 15 như sau: > Đoạn 1"
sf_ec10da512bd0d114,sát hạch viên,ACTOR,43,accept,auto_accept_count_ge_3,sát hạch viên,ACTOR,False,ACTOR:43,1,1,12_2025_tt_bca.dieu_13.khoan_1.diem_a.passage.s002,sát hạch viên,"12/2025/TT-BCA > Chương II. SÁT HẠCH LÁI XE > Điều 13. Sát hạch lái xe đối với người khuyết tật > Khoản 1. Sát hạch để cấp giấy phép lái xe hạng A1 điều khiển xe mô tô ba bánh > Điểm a. Thí sinh thực hiện sát hạch lý thuyết và sát hạch lái xe trong hình theo nội dung và quy trình quy định tại khoản 1, 2 Điều 4 và Phụ lục III ban hành kèm theo Thông tư này; sát hạch tại trung tâm sát hạch lái xe hoặc sân tập lái dùng để sát hạch lái xe mô tô có đủ điều kiện, có hai sát hạch viên chấm điểm trực tiếp;"
